Name,Name of Module,Description of Module,Description of Type,Size,Activity dates,Duration
53541MMT6Y/HerT/P3/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Hertentamen,10,04/01/16,17
53541MMT6Y/Tent/P1/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Tentamen,43,20/10/15,17
53541MMT6Y/WC/P1/01,53541MMT6Y,Mathematical Methods in Theoretical Physics I,Werkcollege,40,1/9/15,8/9/15,15/9/15,22/9/15,29/9/15,6/10/15,13/10/15,8
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,31/08/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,07/09/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,14/09/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,21/09/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,28/09/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,05/10/15,16
53541PAP6Y/H/P1/01,53541PAP6Y,Particle Physics I,Hoorcollege,40,12/10/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,02/09/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,09/09/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,16/09/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,23/09/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,30/09/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,07/10/15,16
53541PAP6Y/H/P1/02,53541PAP6Y,Particle Physics I,Hoorcollege,40,14/10/15,16
53541PAP6Y/Tent/P1/01,53541PAP6Y,Particle Physics I,Tentamen,40,21/10/15,17
53541PHO6Y/Tent/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Tentamen,25,19/10/15,13
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,31/08/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,07/09/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,14/09/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,21/09/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,28/09/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,05/10/15,16
53541PHO6Y/WC/P1/01,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,12/10/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,03/09/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,10/09/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,18,17/09/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,24/09/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,01/10/15,8
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,08/10/15,16
53541PHO6Y/WC/P1/02,53541PHO6Y,Physics of Organs 1: Cardio-Pulmonary Physics,Werkcollege,20,15/10/15,16
53541SHO0Y/H/P1/01,53541SHO0Y,Showcase 1,Hoorcollege,35,10/9/15,24/9/15,8/10/15,8
53541SPC6Y/H/P1/01,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hoorcollege,70,1/9/15,8/9/15,15/9/15,22/9/15,29/9/15,6/10/15,13/10/15,16
53541SPC6Y/H/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hoorcollege,70,3/9/15,10/9/15,17/9/15,24/9/15,1/10/15,8/10/15,15/10/15,16
53541SPC6Y/HerT/P3/01,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Hertentamen,9,05/01/16,13
53541SPC6Y/Tent/P1/01,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Tentamen,62,22/10/15,12
53541SPC6Y/WC/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,11/09/15,8
53541SPC6Y/WC/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,,8
53541SPC6Y/WC/P1/02,53541SPC6Y,Statistical Physics and Condensed Matter Theory I,Werkcollege,30,25/09/15,8
